tau_m,alpha,step,id,nombre,score,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,costo_mclp,grado_dendritico,score_dendritico,cum_poblacion_marginal,cum_demanda_habilitada,cum_ciclistas_inducidos,cum_costo_mclp
75,0.35,8,I16,MATTA-VESPUCIO NORTE,0.588541,34088,1338139,64275,127,2,106,990,1,100,445737,799344,5037,31067
75,0.35,9,MET-L05,Diagonal San Bdo - La Dehesa,0.59821,30883,363657,39375,679,3,104,5116,1,100,476620,838719,5716,36183
75,0.35,10,I26,SAN PABLO,0.579348,32881,38409,22657,156,1,104,883,1,100,509501,861376,5872,37066
75,0.5,1,MET-L04,Radial,0.842182,100383,1498876,215330,931,12,131,5765,1,100,100383,215330,931,5765
75,0.5,2,MET-L03,Norte - Sur,0.814687,76016,1700993,210970,796,5,127,3775,1,100,176399,426300,1727,9540
75,0.5,3,MET-L06,Diagonal Norte - Sur,0.727346,62231,421086,96928,933,6,122,5163,1,100,238630,523228,2660,14703
75,0.5,4,MET-L01,Rinconada - Santuario,0.713665,32199,697709,75461,748,6,117,4415,1,100,270829,598689,3408,19118
75,0.5,5,MET-L02,Mapocho,0.671868,26036,81305,33377,574,4,114,3105,1,100,296865,632066,3982,22223
75,0.5,6,MET-L07,Diagonal Padre Hurtado - Vitacura,0.656319,59744,121130,49209,559,6,110,4787,1,100,356609,681275,4541,27010
75,0.5,7,MET-L09,Rinconada Maipú - Cajon del Maipo,0.654978,55040,93472,53794,369,4,107,3067,1,100,411649,735069,4910,30077
75,0.5,8,I16,MATTA-VESPUCIO NORTE,0.588541,34088,1338139,64275,127,2,106,990,1,100,445737,799344,5037,31067
75,0.5,9,MET-L05,Diagonal San Bdo - La Dehesa,0.59821,30883,363657,39375,679,3,104,5116,1,100,476620,838719,5716,36183
75,0.5,10,I26,SAN PABLO,0.579348,32881,38409,22657,156,1,104,883,1,100,509501,861376,5872,37066
75,0.65,1,MET-L04,Radial,0.842182,100383,1498876,215330,931,12,131,5765,1,100,100383,215330,931,5765
75,0.65,2,MET-L03,Norte - Sur,0.814687,76016,1700993,210970,796,5,127,3775,1,100,176399,426300,1727,9540
75,0.65,3,MET-L06,Diagonal Norte - Sur,0.727346,62231,421086,96928,933,6,122,5163,1,100,238630,523228,2660,14703
75,0.65,4,MET-L01,Rinconada - Santuario,0.713665,32199,697709,75461,748,6,117,4415,1,100,270829,598689,3408,19118
75,0.65,5,MET-L02,Mapocho,0.671868,26036,81305,33377,574,4,114,3105,1,100,296865,632066,3982,22223
75,0.65,6,MET-L07,Diagonal Padre Hurtado - Vitacura,0.656319,59744,121130,49209,559,6,110,4787,1,100,356609,681275,4541,27010
75,0.65,7,MET-L09,Rinconada Maipú - Cajon del Maipo,0.654978,55040,93472,53794,369,4,107,3067,1,100,411649,735069,4910,30077
75,0.65,8,I16,MATTA-VESPUCIO NORTE,0.588541,34088,1338139,64275,127,2,106,990,1,100,445737,799344,5037,31067
75,0.65,9,MET-L05,Diagonal San Bdo - La Dehesa,0.59821,30883,363657,39375,679,3,104,5116,1,100,476620,838719,5716,36183
75,0.65,10,I26,SAN PABLO,0.579348,32881,38409,22657,156,1,104,883,1,100,509501,861376,5872,37066
75,0.8,1,MET-L04,Radial,0.842182,100383,1498876,215330,931,12,131,5765,1,100,100383,215330,931,5765
75,0.8,2,MET-L03,Norte - Sur,0.814687,76016,1700993,210970,796,5,127,3775,1,100,176399,426300,1727,9540
75,0.8,3,MET-L06,Diagonal Norte - Sur,0.727346,62231,421086,96928,933,6,122,5163,1,100,238630,523228,2660,14703
75,0.8,4,MET-L01,Rinconada - Santuario,0.713665,32199,697709,75461,748,6,117,4415,1,100,270829,598689,3408,19118
75,0.8,5,MET-L02,Mapocho,0.671868,26036,81305,33377,574,4,114,3105,1,100,296865,632066,3982,22223
75,0.8,6,MET-L07,Diagonal Padre Hurtado - Vitacura,0.656319,59744,121130,49209,559,6,110,4787,1,100,356609,681275,4541,27010
75,0.8,7,MET-L09,Rinconada Maipú - Cajon del Maipo,0.654978,55040,93472,53794,369,4,107,3067,1,100,411649,735069,4910,30077
75,0.8,8,I16,MATTA-VESPUCIO NORTE,0.588541,34088,1338139,64275,127,2,106,990,1,100,445737,799344,5037,31067
75,0.8,9,MET-L05,Diagonal San Bdo - La Dehesa,0.59821,30883,363657,39375,679,3,104,5116,1,100,476620,838719,5716,36183
75,0.8,10,I26,SAN PABLO,0.579348,32881,38409,22657,156,1,104,883,1,100,509501,861376,5872,37066
100,0.35,1,MET-L04,Radial,0.842182,100383,1498876,215330,931,12,131,5765,1,100,100383,215330,931,5765
100,0.35,2,MET-L03,Norte - Sur,0.814687,76016,1700993,210970,796,5,127,3775,1,100,176399,426300,1727,9540
100,0.35,3,MET-L06,Diagonal Norte - Sur,0.727346,62231,421086,96928,933,6,122,5163,1,100,238630,523228,2660,14703
100,0.35,4,MET-L01,Rinconada - Santuario,0.713665,32199,697709,75461,748,6,117,4415,1,100,270829,598689,3408,19118
100,0.35,5,MET-L02,Mapocho,0.671868,26036,81305,33377,574,4,114,3105,1,100,296865,632066,3982,22223
100,0.35,6,MET-L07,Diagonal Padre Hurtado - Vitacura,0.656319,59744,121130,49209,559,6,110,4787,1,100,356609,681275,4541,27010
100,0.35,7,MET-L09,Rinconada Maipú - Cajon del Maipo,0.654978,55040,93472,53794,369,4,107,3067,1,100,411649,735069,4910,30077
100,0.35,8,I16,MATTA-VESPUCIO NORTE,0.588541,34088,1338139,64275,127,2,106,990,1,100,445737,799344,5037,31067
100,0.35,9,MET-L05,Diagonal San Bdo - La Dehesa,0.59821,30883,363657,39375,679,3,104,5116,1,100,476620,838719,5716,36183
100,0.35,10,I26,SAN PABLO,0.579348,32881,38409,22657,156,1,104,883,1,100,509501,861376,5872,37066
100,0.5,1,MET-L04,Radial,0.842182,100383,1498876,215330,931,12,131,5765,1,100,100383,215330,931,5765
100,0.5,2,MET-L03,Norte - Sur,0.814687,76016,1700993,210970,796,5,127,3775,1,100,176399,426300,1727,9540
100,0.5,3,MET-L06,Diagonal Norte - Sur,0.727346,62231,421086,96928,933,6,122,5163,1,100,238630,523228,2660,14703
100,0.5,4,MET-L01,Rinconada - Santuario,0.713665,32199,697709,75461,748,6,117,4415,1,100,270829,598689,3408,19118
100,0.5,5,MET-L02,Mapocho,0.671868,26036,81305,33377,574,4,114,3105,1,100,296865,632066,3982,22223
100,0.5,6,MET-L07,Diagonal Padre Hurtado - Vitacura,0.656319,59744,121130,49209,559,6,110,4787,1,100,356609,681275,4541,27010
100,0.5,7,MET-L09,Rinconada Maipú - Cajon del Maipo,0.654978,55040,93472,53794,369,4,107,3067,1,100,411649,735069,4910,30077
100,0.5,8,I16,MATTA-VESPUCIO NORTE,0.588541,34088,1338139,64275,127,2,106,990,1,100,445737,799344,5037,31067
100,0.5,9,MET-L05,Diagonal San Bdo - La Dehesa,0.59821,30883,363657,39375,679,3,104,5116,1,100,476620,838719,5716,36183
100,0.5,10,I26,SAN PABLO,0.579348,32881,38409,22657,156,1,104,883,1,100,509501,861376,5872,37066
100,0.65,1,MET-L04,Radial,0.842182,100383,1498876,215330,931,12,131,5765,1,100,100383,215330,931,5765
100,0.65,2,MET-L03,Norte - Sur,0.814687,76016,1700993,210970,796,5,127,3775,1,100,176399,426300,1727,9540
100,0.65,3,MET-L06,Diagonal Norte - Sur,0.727346,62231,421086,96928,933,6,122,5163,1,100,238630,523228,2660,14703
100,0.65,4,MET-L01,Rinconada - Santuario,0.713665,32199,697709,75461,748,6,117,4415,1,100,270829,598689,3408,19118
100,0.65,5,MET-L02,Mapocho,0.671868,26036,81305,33377,574,4,114,3105,1,100,296865,632066,3982,22223
100,0.65,6,MET-L07,Diagonal Padre Hurtado - Vitacura,0.656319,59744,121130,49209,559,6,110,4787,1,100,356609,681275,4541,27010
100,0.65,7,MET-L09,Rinconada Maipú - Cajon del Maipo,0.654978,55040,93472,53794,369,4,107,3067,1,100,411649,735069,4910,30077
100,0.65,8,I16,MATTA-VESPUCIO NORTE,0.588541,34088,1338139,64275,127,2,106,990,1,100,445737,799344,5037,31067
100,0.65,9,MET-L05,Diagonal San Bdo - La Dehesa,0.59821,30883,363657,39375,679,3,104,5116,1,100,476620,838719,5716,36183
100,0.65,10,I26,SAN PABLO,0.579348,32881,38409,22657,156,1,104,883,1,100,509501,861376,5872,37066
100,0.8,1,MET-L04,Radial,0.842182,100383,1498876,215330,931,12,131,5765,1,100,100383,215330,931,5765
100,0.8,2,MET-L03,Norte - Sur,0.814687,76016,1700993,210970,796,5,127,3775,1,100,176399,426300,1727,9540
100,0.8,3,MET-L06,Diagonal Norte - Sur,0.727346,62231,421086,96928,933,6,122,5163,1,100,238630,523228,2660,14703
100,0.8,4,MET-L01,Rinconada - Santuario,0.713665,32199,697709,75461,748,6,117,4415,1,100,270829,598689,3408,19118
100,0.8,5,MET-L02,Mapocho,0.671868,26036,81305,33377,574,4,114,3105,1,100,296865,632066,3982,22223
100,0.8,6,MET-L07,Diagonal Padre Hurtado - Vitacura,0.656319,59744,121130,49209,559,6,110,4787,1,100,356609,681275,4541,27010
100,0.8,7,MET-L09,Rinconada Maipú - Cajon del Maipo,0.654978,55040,93472,53794,369,4,107,3067,1,100,411649,735069,4910,30077
100,0.8,8,I16,MATTA-VESPUCIO NORTE,0.588541,34088,1338139,64275,127,2,106,990,1,100,445737,799344,5037,31067
100,0.8,9,MET-L05,Diagonal San Bdo - La Dehesa,0.59821,30883,363657,39375,679,3,104,5116,1,100,476620,838719,5716,36183
100,0.8,10,I26,SAN PABLO,0.579348,32881,38409,22657,156,1,104,883,1,100,509501,861376,5872,37066
150,0.35,1,MET-L04,Radial,0.842182,100383,1498876,215330,931,12,131,5765,1,100,100383,215330,931,5765
150,0.35,2,MET-L03,Norte - Sur,0.814687,76016,1700993,210970,796,5,127,3775,1,100,176399,426300,1727,9540
150,0.35,3,MET-L06,Diagonal Norte - Sur,0.727346,62231,421086,96928,933,6,122,5163,1,100,238630,523228,2660,14703
150,0.35,4,MET-L01,Rinconada - Santuario,0.713665,32199,697709,75461,748,6,117,4415,1,100,270829,598689,3408,19118
150,0.35,5,MET-L02,Mapocho,0.671868,26036,81305,33377,574,4,114,3105,1,100,296865,632066,3982,22223
150,0.35,6,MET-L07,Diagonal Padre Hurtado - Vitacura,0.656319,59744,121130,49209,559,6,110,4787,1,100,356609,681275,4541,27010
150,0.35,7,MET-L09,Rinconada Maipú - Cajon del Maipo,0.654978,55040,93472,53794,369,4,107,3067,1,100,411649,735069,4910,30077
150,0.35,8,I16,MATTA-VESPUCIO NORTE,0.588541,34088,1338139,64275,127,2,106,990,1,100,445737,799344,5037,31067
150,0.35,9,MET-L05,Diagonal San Bdo - La Dehesa,0.59821,30883,363657,39375,679,3,104,5116,1,100,476620,838719,5716,36183
150,0.35,10,I26,SAN PABLO,0.579348,32881,38409,22657,156,1,104,883,1,100,509501,861376,5872,37066
150,0.5,1,MET-L04,Radial,0.842182,100383,1498876,215330,931,12,131,5765,1,100,100383,215330,931,5765
150,0.5,2,MET-L03,Norte - Sur,0.814687,76016,1700993,210970,796,5,127,3775,1,100,176399,426300,1727,9540
150,0.5,3,MET-L06,Diagonal Norte - Sur,0.727346,62231,421086,96928,933,6,122,5163,1,100,238630,523228,2660,14703
150,0.5,4,MET-L01,Rinconada - Santuario,0.713665,32199,697709,75461,748,6,117,4415,1,100,270829,598689,3408,19118
150,0.5,5,MET-L02,Mapocho,0.671868,26036,81305,33377,574,4,114,3105,1,100,296865,632066,3982,22223
150,0.5,6,MET-L07,Diagonal Padre Hurtado - Vitacura,0.656319,59744,121130,49209,559,6,110,4787,1,100,356609,681275,4541,27010
150,0.5,7,MET-L09,Rinconada Maipú - Cajon del Maipo,0.654978,55040,93472,53794,369,4,107,3067,1,100,411649,735069,4910,30077
150,0.5,8,I16,MATTA-VESPUCIO NORTE,0.588541,34088,1338139,64275,127,2,106,990,1,100,445737,799344,5037,31067
150,0.5,9,MET-L05,Diagonal San Bdo - La Dehesa,0.59821,30883,363657,39375,679,3,104,5116,1,100,476620,838719,5716,36183
150,0.5,10,I26,SAN PABLO,0.579348,32881,38409,22657,156,1,104,883,1,100,509501,861376,5872,37066
150,0.65,1,MET-L04,Radial,0.842182,100383,1498876,215330,931,12,131,5765,1,100,100383,215330,931,5765
150,0.65,2,MET-L03,Norte - Sur,0.814687,76016,1700993,210970,796,5,127,3775,1,100,176399,426300,1727,9540
150,0.65,3,MET-L06,Diagonal Norte - Sur,0.727346,62231,421086,96928,933,6,122,5163,1,100,238630,523228,2660,14703
150,0.65,4,MET-L01,Rinconada - Santuario,0.713665,32199,697709,75461,748,6,117,4415,1,100,270829,598689,3408,19118
150,0.65,5,MET-L02,Mapocho,0.671868,26036,81305,33377,574,4,114,3105,1,100,296865,632066,3982,22223
150,0.65,6,MET-L07,Diagonal Padre Hurtado - Vitacura,0.656319,59744,121130,49209,559,6,110,4787,1,100,356609,681275,4541,27010
150,0.65,7,MET-L09,Rinconada Maipú - Cajon del Maipo,0.654978,55040,93472,53794,369,4,107,3067,1,100,411649,735069,4910,30077
150,0.65,8,I16,MATTA-VESPUCIO NORTE,0.588541,34088,1338139,64275,127,2,106,990,1,100,445737,799344,5037,31067
150,0.65,9,MET-L05,Diagonal San Bdo - La Dehesa,0.59821,30883,363657,39375,679,3,104,5116,1,100,476620,838719,5716,36183
150,0.65,10,I26,SAN PABLO,0.579348,32881,38409,22657,156,1,104,883,1,100,509501,861376,5872,37066
150,0.8,1,MET-L04,Radial,0.842182,100383,1498876,215330,931,12,131,5765,1,100,100383,215330,931,5765
150,0.8,2,MET-L03,Norte - Sur,0.814687,76016,1700993,210970,796,5,127,3775,1,100,176399,426300,1727,9540
150,0.8,3,MET-L06,Diagonal Norte - Sur,0.727346,62231,421086,96928,933,6,122,5163,1,100,238630,523228,2660,14703
150,0.8,4,MET-L01,Rinconada - Santuario,0.713665,32199,697709,75461,748,6,117,4415,1,100,270829,598689,3408,19118
150,0.8,5,MET-L02,Mapocho,0.671868,26036,81305,33377,574,4,114,3105,1,100,296865,632066,3982,22223
150,0.8,6,MET-L07,Diagonal Padre Hurtado - Vitacura,0.656319,59744,121130,49209,559,6,110,4787,1,100,356609,681275,4541,27010
150,0.8,7,MET-L09,Rinconada Maipú - Cajon del Maipo,0.654978,55040,93472,53794,369,4,107,3067,1,100,411649,735069,4910,30077
150,0.8,8,I16,MATTA-VESPUCIO NORTE,0.588541,34088,1338139,64275,127,2,106,990,1,100,445737,799344,5037,31067
150,0.8,9,MET-L05,Diagonal San Bdo - La Dehesa,0.59821,30883,363657,39375,679,3,104,5116,1,100,476620,838719,5716,36183
150,0.8,10,I26,SAN PABLO,0.579348,32881,38409,22657,156,1,104,883,1,100,509501,861376,5872,37066
